timestamp,value,is_anomaly,error_prediction,anomaly_score,convergence_loss,prediction
2014-05-14 01:14:00,0.8398910377411807,0,0.0,0.5,0,0.0
2014-05-14 01:19:00,0.8662499576132292,0,0.0,0.5,0,0.0
2014-05-14 01:24:00,0.37374959026121546,0,0.0,0.5,0,0.0
2014-05-14 01:29:00,0.5058493743712628,0,0.0,0.5,0,0.0
2014-05-14 01:34:00,0.28263498773609425,0,0.0,0.5,0,0.0
2014-05-14 01:39:00,0.2867041177334945,0,0.0,0.5,0,0.0
2014-05-14 01:44:00,0.2857207446507894,0,0.0,0.5,0,0.0
2014-05-14 01:49:00,0.2852234065399962,0,0.0,0.5,0,0.0
2014-05-14 01:54:00,0.27848673576652233,0,0.0,0.5,0,0.0
2014-05-14 01:59:00,0.3104181031072328,0,0.0,0.5,0,0.0
2014-05-14 02:04:00,0.4317233895852877,0,-0.2425575589731051,0.5,[0.058834169059991837],0.18916583061218262
2014-05-14 02:09:00,0.3211221756281719,0,0.1788419423756733,0.5,[0.031984440982341766],0.4999641180038452
2014-05-14 02:14:00,0.288557832510088,0,0.13579263779440115,0.5,[0.01843964122235775],0.42435047030448914
2014-05-14 02:19:00,0.27794418510020225,0,0.09504284683644326,0.5,[0.0090331444516777992],0.3729870319366455
2014-05-14 02:24:00,0.2804308756541691,0,0.10043684399609948,0.5,[0.010087558068335056],0.38086771965026855
2014-05-14 02:29:00,0.2923104746188016,0,0.09758985211001919,0.5,[0.0095237791538238525],0.3899003267288208
2014-05-14 02:34:00,0.27836240123882394,0,0.13000910688266654,0.5,[0.016902370378375053],0.4083715081214905
2014-05-14 02:39:00,0.2832679635134677,0,0.09807689131822783,0.5,[0.0096190739423036575],0.38134485483169556
2014-05-14 02:44:00,0.2836522702354444,0,0.09531695207176077,0.5,[0.0090853199362754822],0.3789692223072052
2014-05-14 02:49:00,0.27535576629630043,0,0.056174447059717636,0.5,[0.0031555695459246635],0.33153021335601807
2014-05-14 02:54:00,0.28109776084818755,0,0.021946737118578807,0.997252243615488,[0.00048165887710638344],0.30304449796676636
2014-05-14 02:59:00,0.3251347899311639,0,0.005605274451389197,0.9649614684172191,[3.1419167498825118e-05],0.3307400643825531
2014-05-14 03:04:00,0.4317346927241695,0,-0.06868220535081743,0.7927994564128267,[0.0047172438353300095],0.36305248737335205
2014-05-14 03:09:00,0.2909993105085282,0,0.15681515406056362,0.7634317016133806,[0.024590987712144852],0.4478144645690918
2014-05-14 03:14:00,0.3953498886640819,0,-0.06121036277373154,0.49586961315035394,[0.0037467086222022772],0.33413952589035034
2014-05-14 03:19:00,0.3068237049428626,0,0.05980911423285762,0.34073622025471517,[0.003577130613848567],0.3666328191757202
2014-05-14 03:24:00,0.2846808558736761,0,0.04491196810856268,0.1063969194303167,[0.0020170859061181545],0.32959282398223877
2014-05-14 03:29:00,0.4424500683839902,0,-0.12771027484494296,0.012247658211201995,[0.016309916973114014],0.31473979353904724
