timestamp,value,error_prediction,anomaly_score,prediction,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-04-10 00:04:00,94.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:09:00,56.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:14:00,187.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:19:00,95.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:24:00,51.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:29:00,10.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:34:00,49.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:39:00,79.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:44:00,24.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:49:00,73.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:54:00,45.0,0.0,0.5,0,0.0,0.0,0.0
2014-04-10 00:59:00,9.0,-9.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:04:00,33.0,-33.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:09:00,14.0,-14.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:14:00,57.0,-57.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:19:00,139.0,-139.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:24:00,21.0,-21.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:29:00,47.0,-47.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:34:00,124.0,-124.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:39:00,34.0,-34.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:44:00,73.0,-73.0,0.5,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:49:00,6.0,-6.0,0.49909897182,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:54:00,115.0,-115.0,0.498608112495,[[ 0.]],0.0,0.0,0.0
2014-04-10 01:59:00,14.0,-14.0,0.497935790095,[[ 0.]],0.0,0.0,0.0
2014-04-10 02:04:00,21.0,-21.0,0.49813418813,[[ 0.]],0.0,0.0,0.0
