timestamp,value,is_anomaly,convergenceLoss,anomaly_score,prediction,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-04-01 00:00:00,1.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:05:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:10:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:15:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:20:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:25:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:30:00,1.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:35:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:40:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:45:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:50:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 00:55:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:00:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:05:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:10:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:15:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:20:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:25:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:30:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:35:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:40:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:45:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:50:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 01:55:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:00:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:05:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:10:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:15:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:20:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:25:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:30:00,0.0,0,0.000787349184975,0.5,[0],0.0,0.0,0.0
2014-04-01 02:35:00,0.0,0,0.000293279648758,0.5,[[ 0.01712541]],0.0,0.0,0.0
2014-04-01 02:40:00,0.0,0,0.000294405064778,0.5,[[ 0.01715824]],0.0,0.0,0.0
2014-04-01 02:45:00,0.0,0,0.000291278440272,0.5,[[ 0.01706688]],0.0,0.0,0.0
2014-04-01 02:50:00,0.0,0,0.000285585934762,0.5,[[ 0.01689929]],0.0,0.0,0.0
2014-04-01 02:55:00,0.0,0,0.000277765939245,0.5,[[ 0.01666631]],0.0,0.0,0.0
2014-04-01 03:00:00,0.0,0,0.000268188392511,0.5,[[ 0.01637646]],0.0,0.0,0.0
2014-04-01 03:05:00,0.0,0,0.000257125473581,0.5,[[ 0.01603513]],0.0,0.0,0.0
2014-04-01 03:10:00,0.0,0,0.000246312847594,0.5,[[ 0.01569436]],0.0,0.0,0.0
2014-04-01 03:15:00,0.0,0,0.000233408078202,0.5,[[ 0.0152777]],0.0,0.0,0.0
