timestamp,value,error_prediction,anomaly_score,prediction,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-02-26 21:42:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 21:47:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 21:52:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 21:57:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:02:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:07:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:12:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:17:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:22:53,0,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:27:53,1,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:32:53,1,0.0,0.5,0,0.0,0.0,0.0
2015-02-26 22:37:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 22:42:53,1,-1.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 22:47:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 22:52:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 22:57:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:02:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:07:53,1,-1.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:12:53,1,-1.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:17:53,1,-1.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:22:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:27:53,0,0.0,0.437566131012,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:32:53,1,-1.0,0.527334618992,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:37:53,0,0.0,0.474087000128,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:42:53,0,0.0,0.42596099641,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:47:53,0,0.0,0.382088577811,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:52:53,4,-4.0,0.405773268582,[[ 0.]],0.0,0.0,0.0
2015-02-26 23:57:53,2,-2.0,0.404986630521,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:02:53,1,-1.0,0.407751288297,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:07:53,0,0.0,0.431045004925,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:12:53,1,-1.0,0.393756398218,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:17:53,1,-1.0,0.353830233327,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:22:53,0,0.0,0.380636505274,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:27:53,2,-2.0,0.327934074389,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:32:53,2,-2.0,0.278713799488,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:37:53,1,-1.0,0.239094026072,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:42:53,1,-1.0,0.351871718545,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:47:53,0,0.0,0.426432847776,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:52:53,0,0.0,0.459693935567,[[ 0.]],0.0,0.0,0.0
2015-02-27 00:57:53,0,0.0,0.4474155293,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:02:53,1,-1.0,0.450872694477,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:07:53,0,0.0,0.488729302447,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:12:53,0,0.0,0.477864388676,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:17:53,0,0.0,0.5696691522,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:22:53,0,0.0,0.660898028744,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:27:53,0,0.0,0.702049076993,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:32:53,1,-1.0,0.711346336458,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:37:53,0,0.0,0.706217999173,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:42:53,0,0.0,0.70131464419,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:47:53,0,0.0,0.696613077264,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:52:53,0,0.0,0.740588665665,[[ 0.]],0.0,0.0,0.0
2015-02-27 01:57:53,1,-1.0,0.700811572472,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:02:53,0,0.0,0.696373418622,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:07:53,0,0.0,0.69208985041,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:12:53,0,0.0,0.687946925444,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:17:53,0,0.0,0.683932293207,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:22:53,0,0.0,0.733597151534,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:27:53,2,-2.0,0.634511240336,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:32:53,0,0.0,0.629853664322,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:37:53,0,0.0,0.625299911592,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:42:53,1,-1.0,0.573279225658,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:47:53,0,0.0,0.628077738129,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:52:53,0,0.0,0.623676691803,[[ 0.]],0.0,0.0,0.0
2015-02-27 02:57:53,0,0.0,0.619360817926,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:02:53,1,-1.0,0.56402970844,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:07:53,1,-1.0,0.505910835831,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:12:53,0,0.0,0.5,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:17:53,0,0.0,0.62486711137,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:22:53,0,0.0,0.620730535906,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:27:53,0,0.0,0.61666310766,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:32:53,1,-1.0,0.623404830644,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:37:53,0,0.0,0.619384269928,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:42:53,0,0.0,0.615426608614,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:47:53,0,0.0,0.611527960578,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:52:53,0,0.0,0.674280750882,[[ 0.]],0.0,0.0,0.0
2015-02-27 03:57:53,0,0.0,0.733664353304,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:02:53,1,-1.0,0.677959339776,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:07:53,0,0.0,0.675070897662,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:12:53,0,0.0,0.67223027041,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:17:53,0,0.0,0.669434772976,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:22:53,3,-3.0,0.545814580901,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:27:53,0,0.0,0.541952874975,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:32:53,0,0.0,0.538131101508,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:37:53,0,0.0,0.534347322149,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:42:53,0,0.0,0.530599740937,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:47:53,0,0.0,0.526886692267,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:52:53,0,0.0,0.590307397713,[[ 0.]],0.0,0.0,0.0
2015-02-27 04:57:53,2,-2.0,0.470376161272,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:02:53,2,-2.0,0.360948631004,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:07:53,0,0.0,0.356278151062,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:12:53,0,0.0,0.539917352001,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:17:53,0,0.0,0.536578928953,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:22:53,0,0.0,0.533269397175,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:27:53,0,0.0,0.529987543449,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:32:53,0,0.0,0.526732233074,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:37:53,0,0.0,0.523502404033,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:42:53,0,0.0,0.520297061671,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:47:53,1,-1.0,0.591539586486,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:52:53,0,0.0,0.714300115059,[[ 0.]],0.0,0.0,0.0
2015-02-27 05:57:53,0,0.0,0.712957071708,[[ 0.]],0.0,0.0,0.0
2015-02-27 06:02:53,1,-1.0,0.656552009439,[[ 0.]],0.0,0.0,0.0
2015-02-27 06:07:53,1,-1.0,0.595720376746,[[ 0.]],0.0,0.0,0.0
2015-02-27 06:12:53,0,0.0,0.593168227069,[[ 0.]],0.0,0.0,0.0
